id,venue,party_ages,cad_amount,tax_basis,calculation,scope,source_url,source_checked
centennial-park-golf-centre-etobicoke-on,"Centennial, Etobicoke ON",40;40;8;12,32.00,Tax included,2 x $10.00 + 2 x $6.00,18 holes; equipment included. Individual rates used because the family ticket's composition is unspecified.,https://www.golfcpgc.com/rates,2026-09-07
within-range-golf-centres-inc-burlington-on,"Within Range, Burlington ON",40;40;8;12,46.02,Tax extra,2 x $12.39 + 2 x $10.62,18 holes; both children in the age 4-12 band. The thirteenth birthday changes the category.,https://www.withinrange.ca/miniputt-burlington,2026-09-07
scarborough-putting-edge-scarborough-on,"Putting Edge, Scarborough ON",40;40;8;12,64.00,Tax extra,4 x $16.00,Four course entrants. Any additional accompanying person needs another paid admission.,https://www.puttingedge.com/locations/scarborough/,2026-09-07
wizards-golf-niagara-falls-on,"Wizards' Golf, Niagara Falls ON",40;40;8;12,35.96,Tax extra,2 x $10.99 + 2 x $6.99,18-hole golf-only admission; no Fun Pass or spectator ticket.,https://www.cliftonhill.com/attractions/wizards-golf-glow-dark-mini-putt,2026-09-07
coast-to-coast-miniature-golf-woodstock-on,"Coast to Coast, Woodstock ON",40;40;8;12,52.00,Tax extra,2 x $14.00 + 2 x $12.00,18 holes at standard rates; the Wednesday promotion is not assumed.,https://haights.ca/miniature-golf/,2026-09-07
tap-ins-putting-course-cultus-lake-bc,"Tap-Ins, Cultus Lake BC",40;40;8;12,72.00,Tax extra,2 x $18.00 + 2 x $14.00 + 4 x $2.00,"Natural-grass putting; four individual tickets plus four $2 putter rentals. The eligible family-package alternative is $66 with the same rentals, before tax.",https://tapins.ca/rates,2026-09-07
riverside-resort-rv-park-in-qualicum-beach-qualicum-beach-bc,"Riverside Ridge, Qualicum Beach BC",40;40;8;12,44.00,Tax extra,2 x $12.00 + 2 x $10.00,"18 holes, golf only; no pool access. Individual tickets are $1 less than the advertised family golf package for this party.",https://myriversideresort.com/amenities.html,2026-09-07
bar-laitier-mini-golf-fluo-s-amuse-quebec-city-qc,"Fluo S'amuse, Quebec City QC",40;40;8;12,44.00,Tax unspecified,2 x $13.00 + 2 x $9.00,One 18-hole round; not the attendance-dependent unlimited option. Locker rental is optional and excluded.,http://www.fluosamuse.com/,2026-09-07
mini-golf-tour-du-nordet-saint-francois-de-l-ile-d-orleans-qc,"Tour-du-Nordet, Ile d'Orleans QC",40;40;8;12,72.00,Tax unspecified,2 x $22.00 + 2 x $14.00,18 holes at individual rates. The eligible two-adult/two-minor family package is $68 instead of $72; tax treatment is unresolved.,https://minigolftourdunordet.ca/,2026-09-07
hornbrook-hollow-s-funhouse-grande-prairie-ab,"Hornbrook Funhouse, Grande Prairie AB",40;40;8;12,53.50,Tax extra,3 x $14.00 + 1 x $11.50,18 holes at individual rates: the twelve-year-old pays the nine-plus rate. The qualifying family-of-four ticket is $47.75 before GST.,http://www.hornbrookhollow.com/,2026-09-07
golf-fanatics-calgary-ab,"Golf Fanatics, Calgary AB",40;40;8;12,39.80,Tax extra,4 x $9.95,Nine-hole course with advertised unlimited usage. Confirm breaks and re-entry; this is not a single 18-hole product.,https://golffanatics.ca/mini-golf/,2026-09-07
steele-creek-adventure-golf-calgary-ab,"Harvest Hills / Steele Creek, Calgary AB",40;40;8;12,44.00,Tax unspecified,2 x $12.00 + 2 x $10.00,"18 holes with putters, balls and scorecards included; both children use the age 7-17 ticket.",https://sites.google.com/view/harvesthillsgolfcentre/mini-putt?authuser=0,2026-09-07
putters-grill-mini-golf-la-broquerie-mb,"Putter's, La Broquerie MB",40;40;8;12,30.00,Tax unspecified,2 x $9.00 + 2 x $6.00,18 holes; children use the age 6-17 youth band. Food at Putter's Grill is separate.,https://labgolf.ca/mini-golf-2/,2026-09-07
battle-creek-adventure-park-moose-jaw-sk,"Battle Creek, Moose Jaw SK",40;40;8;12,44.00,Tax unspecified,2 x $14.00 + 2 x $8.00,Mini-golf admission using age 5-12 child tickets; food and other activities excluded.,https://www.battlecreek.ca/mini-golf,2026-09-07
putt-n-bounce-mini-golf-saskatoon-sk,"Putt 'n' Bounce, Saskatoon SK",40;40;8;12,44.00,Tax extra,2 x $12.50 + 2 x $9.50,"18 holes at individual rates, not the ten-plus group rates.",http://www.fudds.ca/putt-n-bounce/,2026-09-07
hampton-recreation-hampton-nb,"Hampton Recreation, Hampton NB",40;40;8;12,28.00,Tax included,2 x $8.00 + 2 x $6.00,One 18-hole round at published 2026 rates; immediate replay excluded.,https://www.hamptonrecreation.com/mini-putt,2026-09-07
maurie-s-mini-putt-ice-cream-miramichi-nb,"Maurie's, Miramichi NB",40;40;8;12,24.00,Tax included,4 x $6.00,"First 18 holes at the operator's displayed tax-inclusive amount. Uses its rounded final amount, not a recalculated pretax figure.",http://www.mauries.ca/mini-putt.html,2026-09-07
goodwood-family-golf-centre-goodwood-ns,"Goodwood Family Golf, Goodwood NS",40;40;8;12,28.00,Tax included,4 x $7.00,"18 holes with balls, putters and scorecard. All four are paying players, meeting the four-to-nine-person band.",https://www.goodwoodfamilygolf.com/mini,2026-09-07
halifax-putting-edge-halifax-ns,"Putting Edge, Halifax NS",40;40;8;12,64.00,Tax extra,4 x $16.00,Four course entrants; other activities and any extra companion's admission excluded.,https://www.puttingedge.com/halifax/,2026-09-07
sandspit-miniature-golf-new-glasgow-pe,"Sandspit, New Glasgow PE",40;40;8;12,27.84,Tax extra,4 x $6.96,"Standalone advertised mini-golf tickets, not an amusement-ride day pass. Confirm operating dates and access conditions.",https://www.maritimefun.com/sandspit/,2026-09-07
